Kontonummer;Kontonavn;Inngående balanse 2026-01-01;Jan;Feb;Mars;April;Mai;Juni;Juli;Aug;Sept;2026-09-17;2025-09-17;Endring - 2025-09-17
8150;"Annen rentekostnad";938261,20;938261,20;938261,20;938261,20;938261,20;938261,20;938348,20;939118,68;939118,68;939118,68;939118,68;1229765,85;-290647,17
8151;"Renter lån Innovasjon Norge";102714,58;126778,85;126778,85;126778,85;147376,58;147376,58;147376,58;164721,27;164721,27;164721,27;164721,27;0,00;164721,27
8152;"Renter lån Spb1 *74075";316283,00;339108,00;385441,00;406067,00;428903,00;451003,00;474092,00;496882,00;496882,00;496882,00;496882,00;0,00;496882,00
8160;"Valutatap (disagio)";168312,20;168658,97;168658,97;168658,97;168658,97;168658,97;168658,97;168658,97;168658,97;168658,97;168658,97;166305,54;2353,43
8170;"Annen finanskostnad";83913,00;83913,00;83913,00;83913,00;83913,00;83913,00;83913,00;83913,00;83913,00;83913,00;83913,00;83738,00;175,00
8990;"Udekket tap";-14178393,56;-14178393,56;-14178393,56;-14178393,56;-14178393,56;-14178393,56;-14178393,56;-14178393,56;-14178393,56;-14178393,56;-14178393,56;-14178393,56;0,00
2160;"Uopptjent inntekt";-5146838,00;-5146838,00;-5146838,00;-5146838,00;-5146838,00;-5146838,00;-5146838,00;-5146838,00;-5146838,00;-5146838,00;-5146838,00;-12355557,91;7208719,91
2220;"Innovasjon Norge risikolån";-1209090,88;-1036363,60;-1036363,60;-1036363,60;-863636,32;-863636,32;-863636,32;-690909,04;-690909,04;-690909,04;-690909,04;-1381818,15;690909,11
2222;"Lån 1080.89.74075 Sparebank 1";-3360973,00;-3360973,00;-3360973,00;-3360973,00;-3360973,00;-3360973,00;-3360973,00;-3360973,00;-3360973,00;-3360973,00;-3360973,00;-3447152,00;86179,00
2400;"Leverandørgjeld";-751018,36;-878019,96;-1033048,30;-1050548,29;-1244546,17;-1036389,89;-1036011,16;-1226866,61;-1035351,29;-1035351,29;-1035351,29;-3365074,29;2329723,00
2499;"Leverandører - interimskonto";0,00;0,00;-29333,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2600;"Forskuddstrekk";-97551,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-73916,00;73916,00
