Leverandørnummer;Leverandør Organisasjonsnummer;Leverandørnavn;< 15 Dager;15-30  Dager;30-60 Dager;60-90 Dager;90-120 Dager;120-150 Dager;150-180 Dager;> 180 Dager;Sum
20003;"820478452";"KODEWORKS AS";0,00;0,00;0,00;0,00;0,00;0,00;0,00;-335351,29;-335351,29
20196;"971035854";"Universitetet I Oslo";0,00;0,00;0,00;0,00;0,00;0,00;0,00;-700000,00;-700000,00
