Kundenummer;Kundenavn;Kunde Organisasjonsnummer;< 15 Dager;15-30  Dager;30-60 Dager;60-90 Dager;90-120 Dager;120-150 Dager;150-180 Dager;> 180 Dager;Sum
10018;"RIXEN International GmbH";;0,00;0,00;0,00;0,00;0,00;0,00;0,00;260031,29;260031,29
10024;"Sintef AS";"919303808";0,00;0,00;0,00;0,00;0,00;0,00;0,00;12250,00;12250,00
