Saldobalanse 2025 - SUNLIT SEA AS,,,,,,
Nr,Kontotekst,Referansekonto,Importerte tall,Sluttposteringer,2025,2024
3090,"Opptjent, ikke fakturert inntekt","3059 Opptjent, ikke fakturert inntekt",-969797.65,758903.96,-210893.69,-1352194.73
3107,"Salgsinntekt utførsel av varer og tjenester, avgiftsfri","3130 Salgsinntekter eksport av varer, avgiftsfri, MVA-kode 52",-401816.13,0,-401816.13,-523865.23
3120,"Salgsinntekt strømsalg, avgiftspliktig","3120 Salgsinntekt tjenester, avgiftsfri, MVA-kode 5",-3091.89,0,-3091.89,0
3200,"Salgsinntekt, utenfor avgiftsområdet","3200 Salgsinntekt handelsvarer, utenfor avgiftsområdet, MVA-kode 6",0,0,0,-7911.89
4000,Innkjøp av råvarer og halvfabrikater,"4000 Innkjøp av varer og halvfabrikata, høy avgiftssats",-74997.31,0,-74997.31,336990.62
4060,"Frakt, toll og spedisjon","4060 Frakt, toll og spedisjon",39278.72,0,39278.72,176773.53
4090,Beholdningsendring,4390 Beholdningsendring varer for videresalg,6298523.54,0,6298523.54,0
4360,"Frakt, toll og spedisjon","4360 Frakt, toll og spedisjon",0,0,0,1794.0
4390,Beholdningsendring,4390 Beholdningsendring varer for videresalg,0,0,0,-1760362.88
4500,Fremmedytelse og underentreprise,4500 Fremmedytelse og underentreprise,-169490.06,0,-169490.06,-31234.29
5000,Lønn til ansatte,"5000 Lønn til ansatte, variabel, AGA, opplysningspliktig, feriepengegrunnlag",2310155.75,0,2310155.75,1930259.16
5001,Reduksjon lønnskostnad - skattefunn,"5999 Annen personalkostnad, ikke fradragsberettiget",-480861.0,0,-480861.0,0
5020,Feriepenger,"5092 Feriepenger, variabel, AGA, opplysningspliktig",277218.68,0,277218.68,320080.75
5095,Periodisering av lønn,"5092 Feriepenger, variabel, AGA, opplysningspliktig",0,0,0,-13024.0
5096,Periodisering av feriepenger,"5092 Feriepenger, variabel, AGA, opplysningspliktig",0,0,0,-1562.88
5210,Fri telefon,"5210 Fri telefon, AGA, opplysningspliktig",5124.0,0,5124.0,10980.0
5220,Fri avis,"5220 Fri avis, AGA, opplysningspliktig",9889.58,0,9889.58,10723.5
5290,Motkonto for gruppe 52,5290 Motkonto for gruppe 52,-15013.58,0,-15013.58,-21703.5
5320,Annen oppgavepliktig personalforsikring,5310 Opplysningspliktige godtgjørelser - kostnadskonto utenfor AGA-avstemming,3195.0,0,3195.0,0
5395,Annen oppgavepliktig godtgjørelse - ikke arbeidsgiveravgiftspliktig,5390 Annen opplysningspliktig godtgjørelse - kostnadskonto utenfor AGA-avstemming,0,0,0,50000.0
5400,Arbeidsgiveravgift,5400 Arbeidsgiveravgift,355027.66,0,355027.66,426902.27
