          input_hash;             cup_rad;             cup_lip;           cup_depth;           cup_angle;          cup_y_to_x;               space;           alu_thick;            pressure;       time_to_crack;            lip_mean;           edge_mean
        3638217209.0;   34.88000046283868;                 1.0;   34.47721214534074;   76.04132326171829;  0.9917466458368547;   33.73592487019269;                 0.8;  10.378773311681915;            0.139896;  0.5448321716818043;  0.5646318713484139
        1051287433.0;   34.88000046283868;                 1.0;  21.580931831754164;   76.04132326171829;  0.9917466458368547;    34.5189342614186;                 0.8;   8.757526643688175;            0.176112;  0.9616860716476981;  0.7851270784054969
         580954980.0;   34.88000046283868;                 1.0;  20.659768952212268;   76.04132326171829;  0.9917466458368547;    34.5189342614186;                 0.8;   8.641723310260051;                 1.0;   0.961087218006761;  1.0030466723966431
         869561794.0;   34.88000046283868;                 1.0;  21.120350391983216;   82.76033081542957;  0.9917466458368547;    34.5189342614186;                 0.8;   8.699624976974112;                 1.0;  0.9633012181009409;  1.0028530378986038
        3845134986.0;   34.88000046283868;                 1.0;  21.120350391983216;   83.88016540771478;  0.9370441497424444;    34.5189342614186;                 0.8;   8.699624976974112;             0.21447;  0.9568416104909317;  0.8105018133678448
        1459370526.0;   34.88000046283868;                 1.0;  21.120350391983216;   83.88016540771478;  0.9461612324248461;    34.5189342614186;                 0.8;   8.699624976974112;                 1.0;  0.9602698688111425;  0.7610973127218991
        2338511559.0;    38.0800001735645;                 1.0;  21.120350391983216;   83.88016540771478;  0.9416026910836452;    34.5189342614186;                 0.8;   8.528958325735402;                 1.0;  0.9653154147289319;  1.0040828327379225
        3641279400.0;   37.76000020249192;                 1.0;  21.120350391983216;   83.88016540771478;  0.9416026910836452;    34.5189342614186;                 0.8;   8.546024990859273;            0.387575;  0.9648346729369027;  1.0040555091697703
        1570394575.0;    38.0800001735645;                 1.0;  21.120350391983216;   83.88016540771478;  0.9416026910836452;    34.5189342614186;                 0.8;   4.283059895358463;                 1.0;    0.92867108377425;   1.001937057198744
        3039247706.0;    38.0800001735645;                 1.0;  21.120350391983216;   83.88016540771478;  0.9416026910836452;    34.5189342614186;                 0.8;   4.141529947679231;                 1.0;  0.9273734664787129;  1.0011317024255364
        3903066104.0;   27.95495307657275;                 1.0;   39.09134421844413;   76.56477045750094;  0.9916030380801335;    9.97394708317957;                 0.8;  11.328171490044335; 0.20002499999999998; 0.30328750799496174; 0.30453560059381224
         859585502.0;   27.95495307657275;                 1.0;   39.09134421844413;  12.080149076796904;  0.9958015190400668;    9.97394708317957;                 0.8;  11.328171490044335; 0.22877999999999998; 0.38504991912163494;  0.4041528553516054
        3334491655.0;  36.988738269143184;                 1.0;   39.09134421844413;  11.040074538398452;  0.9958015190400668;    9.97394708317957;                 0.8;  10.846369613107244;                 1.0;  0.5770799933816914;  0.6100200205680156
        2786155435.0;   36.23592283642898;                 1.0;   39.09134421844413;  11.040074538398452;  0.9958015190400668;    9.97394708317957;                 0.8;  10.886519769518669; 0.22967999999999997;   0.560865927873881;  0.5928218732195941
        3236813920.0;  36.612330552786084;                 1.0;   39.09134421844413;  11.040074538398452;  0.9958015190400668;   36.24674338539745;                 0.8;  10.866444691312957;                 1.0;  0.5733472242942553;  0.6461292903834888
         535252465.0;  36.612330552786084;                 1.0;   39.09134421844413;  11.040074538398452;  0.9958015190400668;  35.308429231746814;                 0.8;  10.866444691312957;            0.180405;  0.5669276792613664;  0.6350233977744416
        3438392353.0;  36.612330552786084;                 1.0;  24.176381122874822;  11.040074538398452;  0.9958015190400668;   35.77758630857213;                 0.8;    8.99142075929853; 0.22936499999999999;  0.9014859032078676;  0.7533814894901646
        1540285666.0;  36.612330552786084;                 1.0;  23.111026616048445;  11.040074538398452;  0.9958015190400668;   35.77758630857213;                 0.8;   8.857490478440356;                 1.0;  0.9008429620754972;   0.721719739745393
        1619472665.0;  36.612330552786084;                 1.0;  23.643703869461635;  11.040074538398452;  0.9958015190400668;   35.77758630857213;                 0.8;   11.80777847617934;            0.180405;  0.8628053378180504;  0.8970116298547991
        3727570954.0;  36.612330552786084;                 1.0;  23.643703869461635;  11.040074538398452;  0.9958015190400668;   35.77758630857213;                 0.8;   11.90388923808967; 0.17266499999999999;  0.8316710056338976;  0.9579808099605114
